perm	control_libs	n_compartments	GLMM_sig	Fisher_sig	Wilcox_sig	n_tested_glmm	med_p_glmm	med_p_fisher	ks_glmm	ks_fisher	mins
158	CEC5|MEC1|MEC4	2	853	3381	0	17056	0.387977631874509	0.226919603714376	8.98261159946382e-257	0	2.42
159	CEC5|MEC1|MEC5	2	812	3168	0	17054	0.390502501801567	0.235081149790274	5.61387627825386e-252	0	2.36
160	CEC5|MEC2|MEC3	2	841	3388	0	15915	0.371172143961694	0.209094894716087	1.70998366334937e-308	0	2.18
161	CEC5|MEC2|MEC4	2	779	3248	0	16147	0.382936564690126	0.229614615390386	6.77556154157153e-277	0	2.26
162	CEC5|MEC2|MEC5	2	644	2956	0	16214	0.396592040718991	0.242519773564745	5.8853721794697e-229	0	2.23
163	CEC5|MEC3|MEC4	2	805	3325	0	15902	0.374161998729878	0.218635515661018	2.17963946684555e-306	0	2.16
164	CEC5|MEC3|MEC5	2	714	3033	0	15974	0.382296076064834	0.230123251690209	1.82450876858267e-267	0	2.15
165	CEC5|MEC4|MEC5	2	737	2924	0	15999	0.391720798890878	0.241127180482683	9.76970673987474e-229	0	2.1
166	GEC1|GEC2|GEC3	1	304	2482	0	9835	0.404928129810101	0.201927494309715	7.82159203571913e-111	0	1.39
167	GEC1|GEC2|GEC4	1	310	2479	0	10405	0.411782106106041	0.211404482921643	2.05856001621503e-98	0	1.46
168	GEC1|GEC2|GEC5	1	346	2568	0	10636	0.404112922079435	0.196205474043457	2.0108334012959e-104	0	1.47
169	GEC1|GEC2|MEC1	2	686	3119	0	15913	0.389739236516583	0.229231699576221	2.57348817387155e-226	0	2.08
170	GEC1|GEC2|MEC2	2	619	2990	0	13091	0.394999294348116	0.208997725400672	2.52948664669722e-192	0	1.83
171	GEC1|GEC2|MEC3	2	650	2977	0	12500	0.381217318507981	0.200774044339943	1.30384931235979e-200	0	1.77
172	GEC1|GEC2|MEC4	2	450	2571	0	12791	0.406994896968114	0.232902160670607	3.48988101731561e-151	0	1.72
173	GEC1|GEC2|MEC5	2	399	2320	0	12709	0.41708048728774	0.256856652675219	1.86109451426487e-116	0	1.75
174	GEC1|GEC3|GEC4	1	317	2443	0	10505	0.423218758171456	0.218059487542456	7.67435503324181e-91	0	1.44
175	GEC1|GEC3|GEC5	1	324	2610	0	10833	0.4086879088475	0.203654489840957	1.76008997996811e-112	0	1.49
176	GEC1|GEC3|MEC1	2	702	3079	0	15952	0.394707297608248	0.23827383934245	7.25264659911127e-217	0	2.24
177	GEC1|GEC3|MEC2	2	619	2971	0	13188	0.393515165882031	0.210512576135872	7.82510883996665e-191	0	1.75
178	GEC1|GEC3|MEC3	2	691	2975	0	12533	0.383155388638523	0.198510493620653	3.49101183414146e-191	0	1.69
179	GEC1|GEC3|MEC4	2	453	2529	0	12873	0.416488925093718	0.243888293912066	1.39237885789219e-138	0	1.68
180	GEC1|GEC3|MEC5	2	352	2341	0	12817	0.421670758209684	0.257711536390756	8.68108391620166e-115	0	1.67
181	GEC1|GEC4|GEC5	1	359	2577	0	11291	0.409804703098502	0.215281943758841	3.27142463910899e-110	0	1.49
182	GEC1|GEC4|MEC1	2	701	3072	0	16160	0.400602106243043	0.237470489361138	3.47564437970478e-202	0	2.05
183	GEC1|GEC4|MEC2	2	607	2921	0	13551	0.399233970007417	0.217737166261409	1.26248626956527e-172	0	1.79
184	GEC1|GEC4|MEC3	2	675	2943	0	12899	0.393068960895444	0.208191516055275	1.6654956265279e-176	0	1.79
185	GEC1|GEC4|MEC4	2	514	2522	0	13193	0.422694207318876	0.244059970028277	5.12816338864499e-131	0	1.78
186	GEC1|GEC4|MEC5	2	407	2225	0	13132	0.427529796435418	0.269038748243504	2.77759015912946e-99	0	1.77
187	GEC1|GEC5|MEC1	2	687	3160	0	16171	0.388386543199382	0.229664827406784	3.38733716099187e-231	0	2.09
188	GEC1|GEC5|MEC2	2	613	2941	0	13700	0.396047325190709	0.214920479142797	5.78537130175864e-179	0	1.82
189	GEC1|GEC5|MEC3	2	614	2964	0	13127	0.387075754461787	0.204226851121594	9.70774781193824e-184	0	1.75
190	GEC1|GEC5|MEC4	2	436	2469	0	13347	0.415242215726859	0.234721393691084	7.63019648744239e-141	0	1.79
191	GEC1|GEC5|MEC5	2	401	2303	0	13343	0.423046449381344	0.261196027732863	1.33170995618501e-118	0	2.41
192	GEC1|MEC1|MEC2	2	763	3135	0	16649	0.393781480185528	0.240074593648304	8.02271479485331e-236	0	2.83
193	GEC1|MEC1|MEC3	2	816	3181	0	16555	0.388763547648704	0.228769312957803	4.99535726082902e-244	0	2.76
194	GEC1|MEC1|MEC4	2	707	2997	0	16679	0.398409686049767	0.24752812751374	7.02639640477114e-215	0	2.77
195	GEC1|MEC1|MEC5	2	668	2815	0	16639	0.397154093628477	0.252084943233778	9.45046346950544e-207	0	2.78
196	GEC1|MEC2|MEC3	2	870	3303	0	14406	0.373711857894088	0.19509168438787	1.89133099553685e-272	0	2.43
197	GEC1|MEC2|MEC4	2	657	2974	0	14696	0.398204094364422	0.227922953538895	2.00355913377113e-213	0	2.49
198	GEC1|MEC2|MEC5	2	595	2668	0	14723	0.402469829409064	0.243011633657998	1.02309890640937e-178	0	2.53
199	GEC1|MEC3|MEC4	2	749	2979	0	14320	0.392631139581966	0.21779154927859	1.38648573524237e-223	0	2.45
200	GEC1|MEC3|MEC5	2	631	2696	0	14332	0.404119412703888	0.238427665049701	8.42059064548021e-184	0	1.9
201	GEC1|MEC4|MEC5	2	543	2404	0	14307	0.414242885750362	0.259774592511117	2.44716975238147e-155	0	2.15
202	GEC2|GEC3|GEC4	1	279	2352	1	9553	0.425380584734962	0.215370625439247	2.13397825240576e-89	0	1.54
203	GEC2|GEC3|GEC5	1	280	2449	0	9897	0.412986150002966	0.197440779003302	2.7942115786369e-101	0	1.55
204	GEC2|GEC3|MEC1	2	644	3072	0	15371	0.397606227696212	0.231209767505446	2.00621992208418e-207	0	2.3
205	GEC2|GEC3|MEC2	2	666	3054	0	12402	0.39791911347594	0.206566794314861	1.27125544844232e-199	0	1.94
206	GEC2|GEC3|MEC3	2	664	2996	0	11772	0.377627202847623	0.190811834122801	4.4310014342395e-208	0	1.75
207	GEC2|GEC3|MEC4	2	499	2616	0	12190	0.40458350980811	0.231638914934643	2.21949920428558e-152	0	1.77
208	GEC2|GEC3|MEC5	2	357	2277	0	12099	0.41993982060829	0.254311319087281	2.42941478952297e-115	0	1.8
209	GEC2|GEC4|GEC5	1	281	2391	0	10324	0.42008106950227	0.211662533059701	5.81823127686033e-92	0	1.59
210	GEC2|GEC4|MEC1	2	681	3021	0	15627	0.40276862239193	0.235383227672528	8.71671433059608e-197	0	3.46
211	GEC2|GEC4|MEC2	2	633	3016	0	12822	0.402220235963805	0.209316993659168	2.65746893858328e-182	0	3.05
212	GEC2|GEC4|MEC3	2	679	2938	0	12122	0.388996087685798	0.205049964574273	2.0304973084304e-189	0	2.75
213	GEC2|GEC4|MEC4	2	534	2572	0	12618	0.413436752683678	0.240273631159327	5.93353762693763e-150	0	2.55
214	GEC2|GEC4|MEC5	2	399	2174	0	12471	0.429593180279948	0.27154870539506	5.13433953138621e-98	0	2.66
215	GEC2|GEC5|MEC1	2	642	3057	0	15645	0.395263502117547	0.229646398595309	1.35738120108119e-214	0	2.72
216	GEC2|GEC5|MEC2	2	635	2966	0	12981	0.40085600661388	0.2068222983553	1.15335589714471e-178	0	2.89
217	GEC2|GEC5|MEC3	2	595	2902	0	12332	0.382397582094762	0.202830835161845	5.2735384474484e-182	0	2.78
218	GEC2|GEC5|MEC4	2	448	2476	0	12691	0.415364639426701	0.232412741789722	1.21433984941734e-139	0	2.38
219	GEC2|GEC5|MEC5	2	372	2216	0	12641	0.421256129120226	0.26062814566057	5.44663732971411e-110	0	2.87
220	GEC2|MEC1|MEC2	2	784	3286	0	16146	0.394572188282212	0.228774634138099	3.24663156872575e-244	0	2.99
221	GEC2|MEC1|MEC3	2	805	3304	0	16047	0.386968564205234	0.223316924766596	1.70660447319193e-244	0	3.07
222	GEC2|MEC1|MEC4	2	736	3059	0	16205	0.396759520123037	0.236657234550873	4.87742952824421e-224	0	3.1
223	GEC2|MEC1|MEC5	2	646	2859	0	16164	0.401401304430573	0.249482474091913	1.03882612072205e-194	0	3.19
224	GEC2|MEC2|MEC3	2	897	3531	0	13742	0.367599209962534	0.179870830449944	6.86548668476729e-293	0	3.27
225	GEC2|MEC2|MEC4	2	770	3201	0	14101	0.381455962176709	0.217825549510443	9.60704293442293e-243	0	2.79
226	GEC2|MEC2|MEC5	2	633	2785	0	14138	0.404295959798616	0.235224790635463	1.70958856013152e-178	0	3.51
