sigma	npc	rep	test	n_sites	converged	fpr	power_all	power_05	power_10	power_20
0.25	10	1	Wilcox	1100	1	0.0025	0.483333333333333	0.08	0.43	0.94
0.25	10	2	GLMM	1100	1	0.025	0.626666666666667	0.16	0.72	1
0.25	10	2	Fisher	1100	1	0.02375	0.656666666666667	0.17	0.8	1
0.25	10	2	Wilcox	1100	1	0.00625	0.426666666666667	0.05	0.33	0.9
0.25	10	3	GLMM	1100	1	0.01625	0.616666666666667	0.14	0.72	0.99
0.25	10	3	Fisher	1100	1	0.01375	0.673333333333333	0.2	0.82	1
0.25	10	3	Wilcox	1100	1	0.00125	0.44	0.01	0.38	0.93
0.5	3	1	GLMM	1100	1	0.0075	0.166666666666667	0.05	0.07	0.38
0.5	3	1	Fisher	1100	1	0.02375	0.293333333333333	0.1	0.16	0.62
0.5	3	1	Wilcox	1100	1	0	0	0	0	0
0.5	3	2	GLMM	1100	1	0.01625	0.133333333333333	0.05	0.09	0.26
0.5	3	2	Fisher	1100	1	0.03375	0.263333333333333	0.1	0.15	0.54
0.5	3	2	Wilcox	1100	1	0	0	0	0	0
0.5	3	3	GLMM	1100	1	0.01875	0.186666666666667	0.04	0.11	0.41
0.5	3	3	Fisher	1100	1	0.035	0.32	0.08	0.25	0.63
0.5	3	3	Wilcox	1100	1	0	0	0	0	0
0.5	6	1	GLMM	1100	1	0.02875	0.343333333333333	0.06	0.22	0.75
0.5	6	1	Fisher	1100	1	0.03625	0.516666666666667	0.18	0.47	0.9
0.5	6	1	Wilcox	1100	1	0	0	0	0	0
0.5	6	2	GLMM	1100	1	0.02875	0.393333333333333	0.2	0.23	0.75
0.5	6	2	Fisher	1100	1	0.05125	0.523333333333333	0.23	0.4	0.94
0.5	6	2	Wilcox	1100	1	0	0	0	0	0
0.5	6	3	GLMM	1100	1	0.035	0.36	0.09	0.3	0.69
0.5	6	3	Fisher	1100	1	0.0425	0.516666666666667	0.17	0.46	0.92
0.5	6	3	Wilcox	1100	1	0	0	0	0	0
0.5	10	1	GLMM	1100	1	0.03625	0.563333333333333	0.17	0.56	0.96
0.5	10	1	Fisher	1100	1	0.0525	0.686666666666667	0.33	0.73	1
0.5	10	1	Wilcox	1100	1	0.00125	0.3	0.02	0.15	0.73
0.5	10	2	GLMM	1100	1	0.045	0.483333333333333	0.12	0.38	0.95
0.5	10	2	Fisher	1100	1	0.0525	0.636666666666667	0.27	0.66	0.98
0.5	10	2	Wilcox	1100	1	0.0025	0.23	0	0.11	0.58
0.5	10	3	GLMM	1100	1	0.02875	0.47	0.08	0.4	0.93
0.5	10	3	Fisher	1100	1	0.04875	0.613333333333333	0.23	0.62	0.99
0.5	10	3	Wilcox	1100	1	0	0.273333333333333	0.01	0.14	0.67
1	3	1	GLMM	1100	1	0.05375	0.17	0.12	0.18	0.21
1	3	1	Fisher	1100	1	0.225	0.47	0.3	0.48	0.63
1	3	1	Wilcox	1100	1	0	0	0	0	0
1	3	2	GLMM	1100	1	0.0375	0.123333333333333	0.07	0.14	0.16
1	3	2	Fisher	1100	1	0.175	0.37	0.21	0.41	0.49
1	3	2	Wilcox	1100	1	0	0	0	0	0
1	3	3	GLMM	1100	1	0.0275	0.12	0.06	0.08	0.22
1	3	3	Fisher	1100	1	0.19125	0.383333333333333	0.34	0.3	0.51
1	3	3	Wilcox	1100	1	0	0	0	0	0
1	6	1	GLMM	1100	1	0.03	0.15	0.08	0.08	0.29
1	6	1	Fisher	1100	1	0.2425	0.563333333333333	0.41	0.48	0.8
1	6	1	Wilcox	1100	1	0	0	0	0	0
1	6	2	GLMM	1100	1	0.03875	0.143333333333333	0.06	0.08	0.29
1	6	2	Fisher	1100	1	0.255	0.56	0.41	0.54	0.73
1	6	2	Wilcox	1100	1	0	0	0	0	0
1	6	3	GLMM	1100	1	0.0375	0.156666666666667	0.1	0.09	0.28
1	6	3	Fisher	1100	1	0.255	0.593333333333333	0.42	0.59	0.77
1	6	3	Wilcox	1100	1	0	0	0	0	0
1	10	1	GLMM	1100	1	0.01625	0.193333333333333	0.04	0.17	0.37
1	10	1	Fisher	1100	1	0.2625	0.673333333333333	0.42	0.69	0.91
1	10	1	Wilcox	1100	1	0	0	0	0	0
1	10	2	GLMM	1100	1	0.0325	0.283333333333333	0.1	0.18	0.57
1	10	2	Fisher	1100	1	0.29375	0.68	0.44	0.67	0.93
1	10	2	Wilcox	1100	1	0	0	0	0	0
1	10	3	GLMM	1100	1	0.02	0.196666666666667	0.03	0.12	0.44
1	10	3	Fisher	1100	1	0.30625	0.66	0.45	0.64	0.89
1	10	3	Wilcox	1100	1	0	0	0	0	0
