arm	null	labels	GLMM_sites	Fisher_sites	GLMM_genes	Fisher_genes	both_genes	gene_universe	n_tested_glmm	med_p_glmm	med_p_fisher	ks_glmm	ks_fisher
siADAR1	0	TRUE:RRRCCC	824	1079	192	250	172	725	2380	0.0747286294541862	0.345464986183375	0	1.42712578946379e-308
siADAR1	1	CCRCRR	33	127	26	56	23	725	2378	0.446702534959038	0.513795894533897	9.05424873202659e-08	0
siADAR1	2	CCRRCR	515	902	159	228	151	725	2380	0.146948893496617	0.394348142285751	2.52071060840806e-265	0
siADAR1	3	CCRRRC	53	397	42	138	42	725	2380	0.381915762248757	0.440071192473938	1.34756395141636e-33	1.82343409909332e-274
siADAR1	4	CRCCRR	13	79	14	52	9	725	2380	0.516287211284617	0.535047982446033	0.0864180755724459	0
siADAR1	5	CRCRCR	27	180	24	88	24	725	2379	0.407102556596326	0.504181897200766	3.76862842776129e-24	0
siADAR1	6	CRCRRC	17	105	20	59	15	725	2380	0.518209306572751	0.541810029534116	0.00207933344578409	0
siADAR1	7	CRRCCR	20	146	16	74	13	725	2379	0.476506050154756	0.520854651991565	2.06046525642404e-06	0
siADAR1	8	CRRCRC	211	532	96	157	84	725	2379	0.256952672796647	0.444516418406952	5.81579951800823e-128	0
siADAR1	9	CRRRCC	50	126	31	69	28	725	2380	0.490489376124134	0.530203027944459	0.011032728982584	0
