perm	labels	n_tested_glmm	GLMM_sig	Fisher_sig	Wilcox_sig	med_p_glmm	med_p_fisher	ks_glmm	ks_fisher	mins
133	ddcdcccdcddc	19768	75	372	0	0.484190784135624	0.592017178224075	1.79763715745629e-15	0	2.58
134	ddcdcccdcdcd	19772	75	346	0	0.493175239469219	0.597512008898706	8.34144154760607e-07	0	2.61
135	ddcdcccdccdd	19748	56	321	0	0.493606523226876	0.601847713994248	3.88866249324905e-07	0	2.56
136	ddcdccccdddc	19722	109	383	0	0.480993461609389	0.588506708790652	1.70343151614202e-20	0	2.48
137	ddcdccccddcd	19685	102	346	0	0.487522599904365	0.592327031776111	8.8944533590518e-10	0	2.6
138	ddcdccccdcdd	19700	83	346	0	0.489020162446688	0.600565360952087	2.49935534481894e-09	0	2.59
139	ddcdcccccddd	19517	192	613	0	0.445089514814258	0.555188077726761	1.18537695513583e-73	0	2.42
140	ddccddddcccc	19482	164	526	0	0.45665979428363	0.571327510193883	1.59521036846971e-47	0	2.54
141	ddccdddcdccc	19591	114	521	0	0.464777497113656	0.579522750453838	9.03067150435167e-34	0	2.2
142	ddccdddccdcc	19752	54	355	0	0.490049432948788	0.597829034621386	6.72188321927585e-06	0	2.22
143	ddccdddcccdc	19696	83	346	0	0.489941755709144	0.592147188816939	6.04308777126992e-08	0	2.24
144	ddccdddccccd	19607	81	376	0	0.483236982553537	0.588905594550405	1.56989383168176e-17	0	2.21
145	ddccddcddccc	19527	175	542	0	0.468376586816752	0.585856568722462	4.55932183257372e-37	0	2.17
146	ddccddcdcdcc	19763	66	335	0	0.494149177248163	0.606995155781225	1.79614219400408e-09	0	2.29
147	ddccddcdccdc	19709	75	323	0	0.48886221749479	0.596918555142909	2.32119325558918e-06	0	2.44
148	ddccddcdcccd	19708	83	359	0	0.483765218779872	0.598991602638609	1.26775282007111e-11	0	2.26
149	ddccddccddcc	19717	70	365	0	0.485459204539623	0.596962741427377	3.83888696291152e-08	0	2.94
150	ddccddccdcdc	19687	83	344	0	0.491606018091271	0.596306101199656	6.04357804350593e-08	0	3.83
151	ddccddccdccd	19665	96	373	0	0.489081881217651	0.596769649248797	8.83142707719288e-15	0	3.39
152	ddccddcccddc	19682	83	375	0	0.478456194706463	0.586010319386351	8.17153016197645e-18	0	3.12
153	ddccddcccdcd	19604	78	376	0	0.482136646305424	0.587580179213518	1.07044709104409e-17	0	2.72
154	ddccddccccdd	19541	83	363	0	0.48192387199939	0.585439335153273	1.68068546911463e-13	0	2.36
155	ddccdcdddccc	19382	191	546	0	0.45455609828269	0.568466348002214	3.67715163840456e-58	0	2.29
156	ddccdcddcdcc	19690	72	324	0	0.494401979784175	0.604667192785202	3.95256323257726e-07	0	2.34
157	ddccdcddccdc	19654	80	302	0	0.488816361069468	0.594117647058824	1.07973252247123e-07	0	2.36
158	ddccdcddcccd	19720	87	356	0	0.479999736077999	0.592762298099318	6.33809260678852e-16	0	2.34
159	ddccdcdcddcc	19759	61	332	0	0.495872850107456	0.604051121819105	0.000319685612797366	0	2.35
160	ddccdcdcdcdc	19731	54	320	0	0.497544612276512	0.603692750447498	4.98969924748449e-06	0	2.29
161	ddccdcdcdccd	19751	88	382	0	0.491589398154622	0.597505760068484	6.25991223726398e-12	0	2.17
162	ddccdcdccddc	19786	64	331	0	0.496840398203725	0.605263937449723	2.43255192138026e-06	0	2.27
163	ddccdcdccdcd	19716	82	339	0	0.498320242716658	0.60298310781759	1.27498330756474e-05	0	2.81
164	ddccdcdcccdd	19733	84	314	0	0.497917429335515	0.599548414296414	3.41504059411854e-06	0	2.31
165	ddccdccdddcc	19682	97	336	0	0.493090955302659	0.601604966310849	7.20733882585115e-09	0	2.29
166	ddccdccddcdc	19633	82	332	0	0.495764074407842	0.600628893001308	1.52632336450814e-07	0	2.35
167	ddccdccddccd	19740	106	372	0	0.492671362240627	0.602537622195671	2.87308471365875e-09	0	2.48
168	ddccdccdcddc	19739	75	303	0	0.498082893743894	0.605204861210087	5.43886066834978e-08	0	2.24
169	ddccdccdcdcd	19750	76	317	0	0.498091980238734	0.607965334242174	1.24800096820706e-05	0	2.31
170	ddccdccdccdd	19758	64	276	0	0.498453470585571	0.602418296270037	0.00641971272507971	0	2.47
171	ddccdcccdddc	19705	78	326	0	0.491444638016921	0.599937776759233	3.24484302115609e-13	0	2.51
172	ddccdcccddcd	19709	99	328	0	0.490348690680589	0.595981972347414	4.96326469710419e-07	0	2.46
173	ddccdcccdcdd	19753	82	318	0	0.494954863721125	0.601465201465202	1.80190413166847e-06	0	2.59
174	ddccdccccddd	19587	143	508	0	0.462729721654686	0.574447725816314	4.69247032939896e-39	0	2.58
175	ddcccddddccc	19480	136	545	0	0.457224916461574	0.571309682288803	3.11546116398332e-53	0	2.51
176	ddcccdddcdcc	19737	52	303	0	0.49229438053551	0.600910079439289	0.000382036820026348	0	2.3
177	ddcccdddccdc	19722	68	310	0	0.495419390302274	0.59988112784975	8.22005261996744e-06	0	2.27
178	ddcccdddcccd	19747	65	317	0	0.484155477936926	0.594623845765614	2.74084539707725e-14	0	2.35
179	ddcccddcddcc	19784	49	308	0	0.496697360126992	0.604242451316952	0.0124009409507256	0	2.3
